	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	induced	notinduced	metlin	033110EL06_O3.mzdata	033110EL09_O2.mzdata	033110EL19_O1.mzdata	033110EL04_WT1.mzdata	033110EL15_WT2.mzdata	033110EL22_WT3.mzdata
1	M167T377	2.99757534626415	-35.3436612853594	4.11127530197675e-06	167.100797746865	167.098184580131	167.101844647114	376.944084035302	374.180116573991	381.479056065017	3	0	3	http://metlin.scripps.edu/metabo_list.php?mass_min=166.0978&mass_max=166.1038	77969.0717376587	81079.9554400061	81501.1720547958	28603.9424842248	25076.6705240886	26567.6448152161
2	M1539T1085	3.41237302597846	-26.7283922679719	1.28801601753104e-05	1539.16289788029	1539.15334973707	1539.16502066223	1085.05386231114	1083.49742181523	1093.76418559097	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1538.1599&mass_max=1538.1659	29834.7104447428	28264.9553431166	30130.0771534183	8018.22470855714	8184.02144336201	9653.58563129537
3	M1496T1104	2.6258507177161	-21.4113675373442	3.21641782607962e-05	1496.1201989919	1496.11772699280	1496.12193934413	1103.81842528774	1103.18257871949	1107.24348462193	5	3	2	http://metlin.scripps.edu/metabo_list.php?mass_min=1495.1172&mass_max=1495.1232	40343.346078396	37763.9852713012	39054.7397662842	14709.4219819669	16418.5546469879	13490.7331573677
4	M1479T1115	2.88433653512223	-12.9703910213609	0.000204515941097272	1479.09435367315	1479.09307936716	1479.09549982461	1115.35338823478	1114.60412217879	1117.93369047133	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1478.0914&mass_max=1478.0974	607605.521614745	674910.6489675	609072.624316748	186294.621625074	262420.629156466	207098.927579873
5	M1480T1115	2.80505824385692	-13.4026057948335	0.000288273285454554	1480.09802813804	1480.09600556438	1480.09876992626	1114.56699714544	1114.02741629200	1117.93369047133	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1479.095&mass_max=1479.101	398570.181638917	437419.296495834	406362.827512706	124248.101903492	178125.534321602	140523.515150715
6	M1495T1106	2.62132877306201	-14.0725922044989	0.000321725600571643	1495.11863803751	1495.11640782552	1495.12099517772	1105.63109405424	1104.2154266128	1110.18438122789	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1494.1156&mass_max=1494.1216	66757.5669398328	67709.4238824848	62445.3216574381	21644.8713694254	29644.9274250576	23829.4744929115
7	M541T1371	2.42991244749342	-11.5947947380904	0.000349050240306514	540.82363711936	540.822991779167	540.825329301389	1371.03910144877	1369.65037301772	1374.15748500330	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=539.8206&mass_max=539.8266	614257.603924048	658421.129177246	576887.008278048	275700.523638202	272883.489785156	212581.576426296
8	M441T287	1.88248638240231	12.7252093863755	0.000373153116794978	441.315999747267	441.308264144716	441.320756076764	287.290376834443	285.555224970652	306.182917075912	7	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=440.313&mass_max=440.319	15743.5801438686	16923.3034123535	19050.7629146354	33338.8284215199	32952.6528920611	31066.283897705
9	M624T302	6.65963210553359	10.4700956623372	0.000470436733484014	624.407025142355	624.396373380216	624.417676904495	302.260049468824	297.791398523272	306.728700414377	2	0	2	http://metlin.scripps.edu/metabo_list.php?mass_min=623.404&mass_max=623.41	6943.60037332911	2495.35501069225	2386.13281203988	23601.8354872296	26310.5543961064	28838.3471179199
10	M542T1372_1	2.18666432495917	-10.5804012203681	0.000565066293807259	541.658151559136	541.65678455268	541.658974666772	1371.52756269323	1369.65037301772	1374.15748500330	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=540.6552&mass_max=540.6612	995548.564839706	1051957.81679214	940778.476608584	464156.227465819	519663.946484378	382774.974711328
11	M1478T1118	2.77687524773343	-11.1702713958165	0.000577059377030675	1478.08376965221	1478.08305578019	1478.08533175044	1118.47290010476	1117.56815783449	1120.80251528678	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1477.0808&mass_max=1477.0868	402601.101675783	464068.962124023	408179.425509922	139090.518615457	181830.478220923	138173.984240029
12	M1494T1107	2.43901682638241	-10.4781459235081	0.000621737216713214	1494.11081484276	1494.10941692047	1494.11299879261	1106.89818024387	1105.42989519111	1111.14635048481	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=1493.1078&mass_max=1493.1138	71100.6739053409	79819.1801641841	69281.5487675784	27150.453368254	35174.2840394693	27958.1177391639
13	M542T1372_2	1.85108646550532	-9.85555344264338	0.000647534816433648	542.364209075047	542.36363849089	542.364644590067	1371.52756269323	1369.71300170589	1374.15748500330	6	3	3	http://metlin.scripps.edu/metabo_list.php?mass_min=541.3612&mass_max=541.3672	2310157.28083691	2448527.61903443	2202132.66787943	1306871.00613448	1360017.67456498	1093507.00986628
14	M284T344	1.73631274899794	-9.75992144356558	0.000648971197420245	284.09287638056	284.092604247967	284.094444360297	344.062667423202	341.856136827437	344.558321853978	4	3	1	http://metlin.scripps.edu/metabo_list.php?mass_min=283.0899&mass_max=283.0959	14089.503560432	14107.3019371274	12777.548848114	8519.05147986777	7933.66501875872	7145.77079539384
15	M1646T343	3.30273540289051	-9.5598824024271	0.000701551771520759	1646.49645578562	1646.49474795860	1646.49816361264	342.710496095396	341.83778053079	343.583211660002	2	2	0	http://metlin.scripps.edu/metabo_list.php?mass_min=1645.4935&mass_max=1645.4995	2907.10879717826	3240.59567156982	2692.85079244854	1180.62653929817	745.235524082981	750.87530209459
